origin,stop_name,destination,travel_time,path
30248_Blue_0,Jefferson Park,30374_Blue_0,21916.61916,"['30248_Blue_0', '14102_81_1', '3725_81_1', '3726_81_1', '3728_81_1', '3729_81_1', '3730_81_1', '3731_81_1', '3732_81_1', '3733_81_1', '3734_81_1', '17475_81_1', '17476_81_1', '3737_81_1', '3738_81_1', '3739_81_1', '18106_81_1', '3741_81_1', '3742_81_1', '3743_81_1', '17132_81_1', '3745_81_1', '3746_81_1', '30250_Brn_0', '30226_Brn_0', '30168_Brn_0', '30196_Brn_0', '30284_Brn_0', '30019_Brn_0', '30288_Brn_0', '30282_Brn_0', '30278_Brn_0', '30254_Brn_0', '30071_Brn_0', '30258_Brn_0', '30232_Brn_0', '30104_Brn_0', '30236_Brn_0', '30128_Brn_0', '30156_Brn_0', '30138_Brn_0', '30091_Brn_0', '30374_Blue_0']"
30260_Blue_0,Montrose-Blue,30374_Blue_0,1500,"['30260_Blue_0', '30108_Blue_0', '30240_Blue_0', '30013_Blue_0', '30198_Blue_0', '30112_Blue_0', '30130_Blue_0', '30116_Blue_0', '30063_Blue_0', '30272_Blue_0', '30096_Blue_0', '30374_Blue_0']"
30260_Blue_0,Montrose-Blue,30374_Blue_0,21675.50253,"['30260_Blue_0', '11326_78_1', '11327_78_1', '11328_78_1', '11329_78_1', '11330_78_1', '11331_78_1', '11332_78_1', '11333_78_1', '11334_78_1', '11335_78_1', '11336_78_1', '11337_78_1', '11338_78_1', '11339_78_1', '11340_78_1', '11341_78_1', '11342_78_1', '11343_78_1', '14813_78_1', '11346_78_1', '11347_78_1', '17609_78_1', '11349_78_1', '18453_78_1', '11351_78_1', '11352_78_1', '11353_78_1', '11354_78_1', '30288_Brn_0', '30282_Brn_0', '30278_Brn_0', '30254_Brn_0', '30071_Brn_0', '30258_Brn_0', '30232_Brn_0', '30104_Brn_0', '30236_Brn_0', '30128_Brn_0', '30156_Brn_0', '30138_Brn_0', '30091_Brn_0', '30374_Blue_0']"
30260_Blue_0,Montrose-Blue,30374_Blue_0,21734.0602,"['30260_Blue_0', '10199_54_0', '10200_54_0', '15189_54_0', '10202_54_0', '10203_54_0', '10204_54_0', '10206_54_0', '10207_54_0', '10208_54_0', '10209_54_0', '10210_54_0', '10211_54_0', '14771_54_0', '15395_54_0', '15242_54_0', '10215_54_0', '10216_54_0', '17881_54_0', '10218_54_0', '15396_54_0', '14974_54_0', '10221_54_0', '15255_54_0', '10223_54_0', '10224_54_0', '10225_54_0', '10226_54_0', '10227_54_0', '10228_54_0', '10229_54_0', '10230_54_0', '10231_54_0', '18094_54_0', '10233_54_0', '18095_54_0', '10235_54_0', '15299_54_0', '10237_54_0', '18096_54_0', '10240_54_0', '10241_54_0', '30094_G_0', '30005_G_0', '30291_G_0', '30207_G_0', '30265_G_0', '30032_G_0', '30295_G_0', '30221_G_0', '30074_G_0', '30374_Blue_0']"
30260_Blue_0,Montrose-Blue,30374_Blue_0,22638.2136,"['30260_Blue_0', '10490_54A_0', '10491_54A_0', '10200_54A_0', '15189_54A_0', '10202_54A_0', '10492_54A_0', '5443_56_0', '5444_56_0', '5445_56_0', '5446_56_0', '5447_56_0', '5448_56_0', '5450_56_0', '5452_56_0', '5454_56_0', '15213_56_0', '18424_56_0', '5458_56_0', '5459_56_0', '5460_56_0', '15215_56_0', '5462_56_0', '5463_56_0', '17413_56_0', '5465_56_0', '5466_56_0', '5467_56_0', '5468_56_0', '15041_56_0', '17013_56_0', '17014_56_0', '5474_56_0', '5475_56_0', '5476_56_0', '17917_56_0', '5478_56_0', '15233_56_0', '18358_56_0', '5481_56_0', '17015_56_0', '15846_56_0', '5487_56_0', '5489_56_0', '5490_56_0', '5491_56_0', '18114_56_0', '5494_56_0', '5496_56_0', '17834_56_0', '5500_56_0', '5502_56_0', '5503_56_0', '17771_56_0', '5505_56_0', '17772_56_0', '442_56_0', '443_56_0', '445_56_0', '446_56_0', '30374_Blue_0']"
30108_Blue_0,Irving Park-Blue,30374_Blue_0,1350,"['30108_Blue_0', '30240_Blue_0', '30013_Blue_0', '30198_Blue_0', '30112_Blue_0', '30130_Blue_0', '30116_Blue_0', '30063_Blue_0', '30272_Blue_0', '30096_Blue_0', '30374_Blue_0']"
30108_Blue_0,Irving Park-Blue,30374_Blue_0,21112.37275,"['30108_Blue_0', '17327_53_0', '8994_53_0', '8995_53_0', '8996_53_0', '17462_53_0', '8998_53_0', '8999_53_0', '9000_53_0', '14620_53_0', '9002_53_0', '14621_53_0', '9004_53_0', '14622_53_0', '14623_53_0', '9007_53_0', '9008_53_0', '14624_53_0', '9010_53_0', '9011_53_0', '9012_53_0', '17458_53_0', '15762_53_0', '9015_53_0', '9016_53_0', '9017_53_0', '9018_53_0', '9019_53_0', '9020_53_0', '17429_53_0', '9022_53_0', '14626_53_0', '9024_53_0', '14627_53_0', '9027_53_0', '9028_53_0', '9029_53_0', '15552_53_0', '9031_53_0', '30005_G_0', '30291_G_0', '30207_G_0', '30265_G_0', '30032_G_0', '30295_G_0', '30221_G_0', '30074_G_0', '30374_Blue_0']"
30108_Blue_0,Irving Park-Blue,30374_Blue_0,21558.1201,"['30108_Blue_0', '5638_80_1', '5639_80_1', '5640_80_1', '5641_80_1', '5642_80_1', '5643_80_1', '5644_80_1', '5645_80_1', '5646_80_1', '14558_80_1', '5648_80_1', '5649_80_1', '5650_80_1', '5651_80_1', '14551_80_1', '5653_80_1', '5654_80_1', '5655_80_1', '17493_80_1', '5657_80_1', '5658_80_1', '5659_80_1', '5660_80_1', '5661_80_1', '5662_80_1', '30282_Brn_0', '30278_Brn_0', '30254_Brn_0', '30071_Brn_0', '30258_Brn_0', '30232_Brn_0', '30104_Brn_0', '30236_Brn_0', '30128_Brn_0', '30156_Brn_0', '30138_Brn_0', '30091_Brn_0', '30374_Blue_0']"
30108_Blue_0,Irving Park-Blue,30374_Blue_0,22275.03223,"['30108_Blue_0', '15535_54A_1', '5711_54A_1', '5712_54A_1', '5713_54A_1', '17138_54A_1', '17865_54A_1', '5716_54A_1', '14552_54A_1', '5718_54A_1', '5443_56_0', '5444_56_0', '5445_56_0', '5446_56_0', '5447_56_0', '5448_56_0', '5450_56_0', '5452_56_0', '5454_56_0', '15213_56_0', '18424_56_0', '5458_56_0', '5459_56_0', '5460_56_0', '15215_56_0', '5462_56_0', '5463_56_0', '17413_56_0', '5465_56_0', '5466_56_0', '5467_56_0', '5468_56_0', '15041_56_0', '17013_56_0', '17014_56_0', '5474_56_0', '5475_56_0', '5476_56_0', '17917_56_0', '5478_56_0', '15233_56_0', '18358_56_0', '5481_56_0', '17015_56_0', '15846_56_0', '5487_56_0', '5489_56_0', '5490_56_0', '5491_56_0', '18114_56_0', '5494_56_0', '5496_56_0', '17834_56_0', '5500_56_0', '5502_56_0', '5503_56_0', '17771_56_0', '5505_56_0', '17772_56_0', '442_56_0', '443_56_0', '445_56_0', '446_56_0', '30374_Blue_0']"
30240_Blue_0,Addison-Blue,30374_Blue_0,1260,"['30240_Blue_0', '30013_Blue_0', '30198_Blue_0', '30112_Blue_0', '30130_Blue_0', '30116_Blue_0', '30063_Blue_0', '30272_Blue_0', '30096_Blue_0', '30374_Blue_0']"
