route_id,Direction_ID,From_ID,Arr_From,To_ID,Arr_To,Car_Num,Line,Trip_No,Dep_From,Dep_To
8,0,5838,29587,5839.0,29622.0,70,8,1,29597,29632.0
8,0,5839,29622,5840.0,29656.0,70,8,1,29632,29666.0
8,0,5840,29656,5841.0,29688.0,70,8,1,29666,29698.0
8,0,5841,29688,5842.0,29716.0,70,8,1,29698,29726.0
8,0,5842,29716,17373.0,29757.0,70,8,1,29726,29767.0
8,0,17373,29757,15873.0,29779.0,70,8,1,29767,29789.0
8,0,15873,29779,15875.0,29820.0,70,8,1,29789,29830.0
8,0,15875,29820,5848.0,29841.0,70,8,1,29830,29851.0
8,0,5848,29841,15876.0,29888.0,70,8,1,29851,29898.0
8,0,15876,29888,5850.0,29916.0,70,8,1,29898,29926.0
8,0,5850,29916,17953.0,29963.0,70,8,1,29926,29973.0
8,0,17953,29963,5852.0,29994.0,70,8,1,29973,30004.0
8,0,5852,29994,14496.0,30038.0,70,8,1,30004,30048.0
8,0,14496,30038,5854.0,30063.0,70,8,1,30048,30073.0
8,0,5854,30063,5855.0,30097.0,70,8,1,30073,30107.0
8,0,5855,30097,5856.0,30135.0,70,8,1,30107,30145.0
8,0,5856,30135,5857.0,30169.0,70,8,1,30145,30179.0
8,0,5857,30169,14818.0,30210.0,70,8,1,30179,30220.0
8,0,14818,30210,5859.0,30230.0,70,8,1,30220,30240.0
8,0,5859,30230,5860.0,30254.0,70,8,1,30240,30264.0
8,0,5860,30254,5861.0,30281.0,70,8,1,30264,30291.0
8,0,5861,30281,15086.0,30321.0,70,8,1,30291,30331.0
8,0,15086,30321,5863.0,30352.0,70,8,1,30331,30362.0
8,0,5863,30352,5864.0,30389.0,70,8,1,30362,30399.0
8,0,5864,30389,17472.0,30420.0,70,8,1,30399,30430.0
8,0,5756,25680,5757.0,25724.0,70,8,2,25690,25734.0
8,0,5757,25724,14901.0,25826.0,70,8,2,25734,25836.0
8,0,14901,25826,5759.0,25877.0,70,8,2,25836,25887.0
8,0,5759,25877,5760.0,25953.0,70,8,2,25887,25963.0
8,0,5760,25953,5761.0,26017.0,70,8,2,25963,26027.0
8,0,5761,26017,14906.0,26100.0,70,8,2,26027,26110.0
8,0,14906,26100,14908.0,26152.0,70,8,2,26110,26162.0
8,0,14908,26152,5764.0,26190.0,70,8,2,26162,26200.0
8,0,5764,26190,5765.0,26238.0,70,8,2,26200,26248.0
8,0,5765,26238,14907.0,26291.0,70,8,2,26248,26301.0
8,0,14907,26291,5767.0,26329.0,70,8,2,26301,26339.0
8,0,5767,26329,5768.0,26396.0,70,8,2,26339,26406.0
8,0,5768,26396,5769.0,26468.0,70,8,2,26406,26478.0
8,0,5769,26468,18436.0,26550.0,70,8,2,26478,26560.0
8,0,18436,26550,1349.0,26592.0,70,8,2,26560,26602.0
8,0,1349,26592,5771.0,26644.0,70,8,2,26602,26654.0
8,0,5771,26644,5772.0,26704.0,70,8,2,26654,26714.0
8,0,5772,26704,18468.0,26772.0,70,8,2,26714,26782.0
8,0,18468,26772,5774.0,26832.0,70,8,2,26782,26842.0
8,0,5774,26832,5775.0,26888.0,70,8,2,26842,26898.0
8,0,5775,26888,5776.0,26940.0,70,8,2,26898,26950.0
8,0,5776,26940,15407.0,26974.0,70,8,2,26950,26984.0
8,0,15407,26974,5779.0,27021.0,70,8,2,26984,27031.0
8,0,5779,27021,5780.0,27081.0,70,8,2,27031,27091.0
8,0,5780,27081,15273.0,27210.0,70,8,2,27091,27220.0
8,0,15273,27210,16125.0,27270.0,70,8,2,27220,27280.0
8,0,16125,27270,15347.0,27361.0,70,8,2,27280,27371.0
8,0,15347,27361,5788.0,27480.0,70,8,2,27371,27490.0
8,0,5788,27480,5790.0,27600.0,70,8,2,27490,27610.0
8,0,5790,27600,5792.0,27781.0,70,8,2,27610,27791.0
8,0,5792,27781,15351.0,27895.0,70,8,2,27791,27905.0
8,0,15351,27895,15008.0,27971.0,70,8,2,27905,27981.0
8,0,15008,27971,15352.0,28018.0,70,8,2,27981,28028.0
8,0,15352,28018,5799.0,28072.0,70,8,2,28028,28082.0
8,0,5799,28072,205.0,28170.0,70,8,2,28082,28180.0
8,0,205,28170,4638.0,28231.0,70,8,2,28180,28241.0
8,0,4638,28231,4639.0,28261.0,70,8,2,28241,28271.0
8,0,4639,28261,4640.0,28309.0,70,8,2,28271,28319.0
8,0,4640,28309,17366.0,28360.0,70,8,2,28319,28370.0
8,0,17366,28360,5802.0,28401.0,70,8,2,28370,28411.0
8,0,5802,28401,5804.0,28448.0,70,8,2,28411,28458.0
8,0,5804,28448,5806.0,28500.0,70,8,2,28458,28510.0
8,0,5806,28500,17904.0,28544.0,70,8,2,28510,28554.0
8,0,17904,28544,5809.0,28578.0,70,8,2,28554,28588.0
8,0,5809,28578,15353.0,28602.0,70,8,2,28588,28612.0
8,0,15353,28602,15354.0,28649.0,70,8,2,28612,28659.0
8,0,15354,28649,5812.0,28680.0,70,8,2,28659,28690.0
8,0,5812,28680,5917.0,28830.0,70,8,2,28690,28840.0
8,0,5917,28830,4448.0,28883.0,70,8,2,28840,28893.0
8,0,4448,28883,17905.0,28984.0,70,8,2,28893,28994.0
8,0,17905,28984,5815.0,29017.0,70,8,2,28994,29027.0
8,0,5815,29017,18213.0,29081.0,70,8,2,29027,29091.0
8,0,18213,29081,5817.0,29124.0,70,8,2,29091,29134.0
8,0,5817,29124,17157.0,29168.0,70,8,2,29134,29178.0
8,0,17157,29168,17123.0,29195.0,70,8,2,29178,29205.0
8,0,17123,29195,5820.0,29231.0,70,8,2,29205,29241.0
8,0,5820,29231,5821.0,29268.0,70,8,2,29241,29278.0
8,0,5821,29268,5822.0,29305.0,70,8,2,29278,29315.0
8,0,5822,29305,5823.0,29352.0,70,8,2,29315,29362.0
8,0,5823,29352,17595.0,29382.0,70,8,2,29362,29392.0
8,0,17595,29382,5825.0,29416.0,70,8,2,29392,29426.0
8,0,5825,29416,14863.0,29469.0,70,8,2,29426,29479.0
8,0,14863,29469,5827.0,29516.0,70,8,2,29479,29526.0
8,0,5827,29516,5149.0,29550.0,70,8,2,29526,29560.0
8,0,5149,29550,5150.0,29568.0,70,8,2,29560,29578.0
8,0,5150,29568,17060.0,29597.0,70,8,2,29578,29607.0
8,0,17060,29597,17170.0,29619.0,70,8,2,29607,29629.0
8,0,17170,29619,17158.0,29659.0,70,8,2,29629,29669.0
8,0,17158,29659,5155.0,29691.0,70,8,2,29669,29701.0
8,0,5155,29691,16127.0,29725.0,70,8,2,29701,29735.0
8,0,16127,29725,5829.0,29750.0,70,8,2,29735,29760.0
8,0,5829,29750,5830.0,29782.0,70,8,2,29760,29792.0
8,0,5830,29782,5831.0,29823.0,70,8,2,29792,29833.0
8,0,5831,29823,15023.0,29888.0,70,8,2,29833,29898.0
8,0,15023,29888,5833.0,29929.0,70,8,2,29898,29939.0
8,0,5833,29929,17950.0,29970.0,70,8,2,29939,29980.0
8,0,17950,29970,5835.0,29995.0,70,8,2,29980,30005.0
8,0,5835,29995,5836.0,30030.0,70,8,2,30005,30040.0
8,0,5836,30030,5837.0,30045.0,70,8,2,30040,30055.0
8,0,5837,30045,5838.0,30067.0,70,8,2,30055,30077.0
8,0,5838,30067,5839.0,30102.0,70,8,2,30077,30112.0
8,0,5839,30102,5840.0,30136.0,70,8,2,30112,30146.0
8,0,5840,30136,5841.0,30168.0,70,8,2,30146,30178.0
8,0,5841,30168,5842.0,30196.0,70,8,2,30178,30206.0
8,0,5842,30196,17373.0,30237.0,70,8,2,30206,30247.0
8,0,17373,30237,15873.0,30259.0,70,8,2,30247,30269.0
8,0,15873,30259,15875.0,30300.0,70,8,2,30269,30310.0
8,0,15875,30300,5848.0,30321.0,70,8,2,30310,30331.0
8,0,5848,30321,15876.0,30368.0,70,8,2,30331,30378.0
8,0,15876,30368,5850.0,30396.0,70,8,2,30378,30406.0
8,0,5850,30396,17953.0,30443.0,70,8,2,30406,30453.0
8,0,17953,30443,5852.0,30474.0,70,8,2,30453,30484.0
8,0,5852,30474,14496.0,30518.0,70,8,2,30484,30528.0
8,0,14496,30518,5854.0,30543.0,70,8,2,30528,30553.0
8,0,5854,30543,5855.0,30577.0,70,8,2,30553,30587.0
8,0,5855,30577,5856.0,30615.0,70,8,2,30587,30625.0
8,0,5856,30615,5857.0,30649.0,70,8,2,30625,30659.0
8,0,5857,30649,14818.0,30690.0,70,8,2,30659,30700.0
8,0,14818,30690,5859.0,30710.0,70,8,2,30700,30720.0
8,0,5859,30710,5860.0,30734.0,70,8,2,30720,30744.0
8,0,5860,30734,5861.0,30761.0,70,8,2,30744,30771.0
8,0,5861,30761,15086.0,30801.0,70,8,2,30771,30811.0
8,0,15086,30801,5863.0,30832.0,70,8,2,30811,30842.0
8,0,5863,30832,5864.0,30869.0,70,8,2,30842,30879.0
8,0,5864,30869,17472.0,30900.0,70,8,2,30879,30910.0
8,0,5756,26160,5757.0,26204.0,70,8,3,26170,26214.0
8,0,5757,26204,14901.0,26306.0,70,8,3,26214,26316.0
8,0,14901,26306,5759.0,26357.0,70,8,3,26316,26367.0
8,0,5759,26357,5760.0,26433.0,70,8,3,26367,26443.0
8,0,5760,26433,5761.0,26497.0,70,8,3,26443,26507.0
8,0,5761,26497,14906.0,26580.0,70,8,3,26507,26590.0
8,0,14906,26580,14908.0,26632.0,70,8,3,26590,26642.0
8,0,14908,26632,5764.0,26670.0,70,8,3,26642,26680.0
8,0,5764,26670,5765.0,26718.0,70,8,3,26680,26728.0
8,0,5765,26718,14907.0,26771.0,70,8,3,26728,26781.0
8,0,14907,26771,5767.0,26809.0,70,8,3,26781,26819.0
8,0,5767,26809,5768.0,26876.0,70,8,3,26819,26886.0
8,0,5768,26876,5769.0,26948.0,70,8,3,26886,26958.0
8,0,5769,26948,18436.0,27030.0,70,8,3,26958,27040.0
8,0,18436,27030,1349.0,27072.0,70,8,3,27040,27082.0
8,0,1349,27072,5771.0,27124.0,70,8,3,27082,27134.0
8,0,5771,27124,5772.0,27184.0,70,8,3,27134,27194.0
8,0,5772,27184,18468.0,27252.0,70,8,3,27194,27262.0
8,0,18468,27252,5774.0,27312.0,70,8,3,27262,27322.0
8,0,5774,27312,5775.0,27368.0,70,8,3,27322,27378.0
8,0,5775,27368,5776.0,27420.0,70,8,3,27378,27430.0
8,0,5776,27420,15407.0,27454.0,70,8,3,27430,27464.0
8,0,15407,27454,5779.0,27501.0,70,8,3,27464,27511.0
8,0,5779,27501,5780.0,27561.0,70,8,3,27511,27571.0
8,0,5780,27561,15273.0,27690.0,70,8,3,27571,27700.0
8,0,15273,27690,16125.0,27750.0,70,8,3,27700,27760.0
8,0,16125,27750,15347.0,27841.0,70,8,3,27760,27851.0
8,0,15347,27841,5788.0,27960.0,70,8,3,27851,27970.0
8,0,5788,27960,5790.0,28080.0,70,8,3,27970,28090.0
8,0,5790,28080,5792.0,28261.0,70,8,3,28090,28271.0
8,0,5792,28261,15351.0,28375.0,70,8,3,28271,28385.0
8,0,15351,28375,15008.0,28451.0,70,8,3,28385,28461.0
8,0,15008,28451,15352.0,28498.0,70,8,3,28461,28508.0
