from_station_id,to_station_id,time
159.0,161.0,30
160.0,42.0,30
160.0,158.0,30
160.0,159.0,30
160.0,161.0,30
161.0,42.0,30
161.0,158.0,30
161.0,159.0,30
161.0,160.0,30
162.0,163.0,30
163.0,162.0,30
164.0,165.0,30
164.0,166.0,30
164.0,167.0,30
165.0,164.0,30
165.0,166.0,30
165.0,167.0,30
166.0,164.0,30
166.0,165.0,30
166.0,167.0,30
167.0,164.0,30
167.0,165.0,30
167.0,166.0,30
168.0,169.0,30
168.0,170.0,30
168.0,171.0,30
169.0,168.0,30
169.0,170.0,30
169.0,171.0,30
170.0,168.0,30
170.0,169.0,30
170.0,171.0,30
171.0,168.0,30
171.0,169.0,30
171.0,170.0,30
172.0,173.0,30
173.0,172.0,30
174.0,175.0,30
175.0,174.0,30
176.0,177.0,30
176.0,178.0,30
176.0,179.0,30
177.0,176.0,30
177.0,178.0,30
177.0,179.0,30
178.0,176.0,30
178.0,177.0,30
178.0,179.0,30
179.0,176.0,30
179.0,177.0,30
179.0,178.0,30
180.0,181.0,30
181.0,180.0,30
182.0,183.0,30
183.0,182.0,30
184.0,4.0,30
184.0,35.0,30
184.0,185.0,30
184.0,186.0,30
184.0,187.0,30
185.0,4.0,30
185.0,35.0,30
185.0,184.0,30
185.0,186.0,30
185.0,187.0,30
186.0,4.0,30
186.0,35.0,30
186.0,184.0,30
186.0,185.0,30
186.0,187.0,30
187.0,4.0,30
187.0,35.0,30
187.0,184.0,30
187.0,185.0,30
187.0,186.0,30
188.0,189.0,30
189.0,188.0,30
190.0,53.0,30
190.0,191.0,30
190.0,192.0,30
190.0,193.0,30
191.0,53.0,30
191.0,190.0,30
191.0,192.0,30
191.0,193.0,30
192.0,53.0,30
192.0,190.0,30
192.0,191.0,30
192.0,193.0,30
193.0,53.0,30
193.0,190.0,30
193.0,191.0,30
193.0,192.0,30
194.0,195.0,30
195.0,194.0,30
196.0,197.0,30
197.0,196.0,30
198.0,199.0,30
199.0,198.0,30
200.0,201.0,30
201.0,200.0,30
202.0,203.0,30
203.0,202.0,30
204.0,205.0,30
205.0,204.0,30
206.0,207.0,30
207.0,206.0,30
208.0,209.0,30
209.0,208.0,30
210.0,211.0,30
211.0,210.0,30
212.0,67.0,30
212.0,213.0,30
213.0,67.0,30
213.0,212.0,30
214.0,215.0,30
215.0,214.0,30
216.0,217.0,30
216.0,218.0,30
216.0,219.0,30
217.0,216.0,30
217.0,218.0,30
217.0,219.0,30
218.0,216.0,30
218.0,217.0,30
218.0,219.0,30
219.0,216.0,30
219.0,217.0,30
219.0,218.0,30
220.0,71.0,30
220.0,221.0,30
220.0,222.0,30
220.0,223.0,30
221.0,71.0,30
221.0,220.0,30
221.0,222.0,30
221.0,223.0,30
222.0,71.0,30
222.0,220.0,30
222.0,221.0,30
222.0,223.0,30
223.0,71.0,30
223.0,220.0,30
223.0,221.0,30
223.0,222.0,30
224.0,225.0,30
225.0,224.0,30
226.0,227.0,30
227.0,226.0,30
228.0,229.0,30
229.0,228.0,30
230.0,78.0,30
230.0,231.0,30
230.0,232.0,30
230.0,233.0,30
231.0,78.0,30
231.0,230.0,30
231.0,232.0,30
231.0,233.0,30
232.0,78.0,30
232.0,230.0,30
232.0,231.0,30
232.0,233.0,30
233.0,78.0,30
233.0,230.0,30
233.0,231.0,30
233.0,232.0,30
234.0,84.0,30
234.0,85.0,30
234.0,235.0,30
235.0,84.0,30
235.0,85.0,30
235.0,234.0,30
236.0,237.0,30
237.0,236.0,30
238.0,239.0,30
239.0,238.0,30
240.0,241.0,30
241.0,240.0,30
242.0,243.0,30
243.0,242.0,30
244.0,245.0,30
245.0,244.0,30
246.0,247.0,30
247.0,246.0,30
248.0,248.0,-1
249.0,249.0,-1
250.0,250.0,-1
251.0,251.0,-1
