164,44.0,4.0,1,500,44640
165,44.0,4.0,1,500,45840
166,44.0,4.0,1,500,47040
167,44.0,4.0,1,500,48240
168,17.0,4.0,1,500,51000
169,17.0,4.0,1,500,52200
170,17.0,4.0,1,500,53400
171,17.0,4.0,1,500,54600
172,17.0,4.0,1,500,55680
173,17.0,4.0,1,500,57480
174,17.0,4.0,1,500,58380
175,44.0,4.0,1,500,62670
176,17.0,4.0,1,500,59280
177,17.0,4.0,1,500,60180
178,44.0,4.0,1,500,61770
179,44.0,4.0,1,500,65040
180,44.0,4.0,1,500,69840
181,44.0,4.0,1,500,66240
182,44.0,4.0,1,500,67440
183,44.0,4.0,1,500,68640
184,44.0,4.0,1,500,71040
185,44.0,4.0,1,500,72240
186,44.0,4.0,1,500,73440
187,44.0,4.0,1,500,74640
188,17.0,4.0,1,500,76320
189,17.0,4.0,1,500,77760
190,44.0,4.0,1,500,81600
191,44.0,4.0,1,500,83040
192,44.0,4.0,1,500,84720
193,1.0,4.0,0,500,17280
194,1.0,4.0,0,500,19200
195,1.0,4.0,0,500,52200
196,1.0,4.0,0,500,49800
197,44.0,4.0,1,500,80160
198,1.0,4.0,0,500,18600
199,1.0,4.0,0,500,18000
200,17.0,4.0,1,500,13800
201,17.0,4.0,1,500,35400
202,1.0,4.0,0,500,61650
203,1.0,4.0,0,500,50400
204,44.0,4.0,1,500,58170
205,1.0,4.0,0,500,29250
206,44.0,4.0,1,500,49440
207,1.0,4.0,0,500,51000
208,17.0,4.0,1,500,61080
209,1.0,4.0,0,500,28350
210,17.0,4.0,1,500,34200
211,1.0,4.0,0,500,58050
212,1.0,4.0,0,500,30600
213,44.0,4.0,1,500,59070
214,1.0,4.0,0,500,63600
215,17.0,4.0,1,500,67800
216,1.0,4.0,0,500,37800
217,44.0,4.0,1,500,75840
218,17.0,4.0,1,500,49800
219,44.0,4.0,1,500,42240
220,1.0,4.0,0,500,45000
221,1.0,4.0,0,500,41400
222,1.0,4.0,0,500,70200
223,17.0,4.0,1,500,42600
224,1.0,4.0,0,500,23400
225,44.0,4.0,1,500,27090
226,1.0,4.0,0,500,26550
227,1.0,4.0,0,500,27000
228,44.0,4.0,1,500,32640
229,17.0,4.0,1,500,30000
230,44.0,4.0,1,500,29790
