36,37,1,54000
36,4,1,54000
36,23,1,54000
36,4,2,54060
36,31,1,54060
36,19,1,54120
36,80,1,54120
36,54,1,54180
36,56,1,54240
36,23,1,54240
36,19,1,54300
36,22,1,54300
36,20,1,54300
36,20,1,54360
36,48,1,54360
36,22,1,54420
36,61,1,54420
36,29,1,54480
36,52,1,54480
36,23,2,54480
36,37,1,54540
36,37,1,54600
36,79,1,54720
36,24,1,54720
36,61,1,54780
36,24,1,54840
36,61,1,54840
36,4,1,54840
36,23,2,54900
36,3,2,54900
36,15,1,54900
36,49,1,54900
36,24,1,54900
36,23,1,54960
36,48,1,54960
36,52,1,54960
36,37,1,54960
36,4,1,54960
36,45,1,55020
36,4,1,55080
36,61,1,55080
36,37,1,55080
36,15,1,55080
36,24,1,55140
36,31,1,55140
36,3,1,55140
36,34,1,55140
36,37,1,55200
36,24,1,55200
36,23,2,55260
36,23,4,55440
36,24,1,55500
36,48,1,55560
36,3,1,55560
36,73,1,55560
36,49,1,55620
36,197,1,55620
36,24,1,55680
36,19,1,55740
36,23,1,55740
36,15,1,55740
36,76,2,55740
36,24,2,55800
36,23,1,55800
36,22,1,55800
36,50,1,55800
36,37,2,55860
36,50,1,55860
36,48,1,55860
36,31,1,55860
36,3,1,55860
36,27,1,55920
36,4,1,55920
36,37,1,55920
36,89,1,55920
36,24,1,55920
36,45,2,56040
36,24,1,56040
36,48,1,56100
36,50,1,56100
36,24,1,56160
36,61,1,56220
36,23,1,56280
36,3,1,56280
36,3,1,56400
36,23,1,56400
36,37,1,56460
36,22,1,56460
36,24,1,56460
36,4,1,56520
36,41,1,56580
36,37,1,56580
36,4,1,56640
36,34,1,56640
36,23,2,56700
36,4,1,56760
36,73,1,56820
36,24,1,56820
36,37,1,56820
36,27,1,56880
36,31,1,57000
36,37,1,57060
36,4,1,57120
36,24,1,57120
36,76,1,57120
36,37,2,57180
36,37,1,57240
36,29,1,57240
36,23,1,57300
36,3,1,57300
36,52,1,57300
36,61,1,57360
36,31,1,57360
36,23,1,57360
36,171,1,57480
36,23,1,57480
36,24,1,57540
36,12,1,57540
36,31,1,57600
36,23,1,57600
36,76,2,57600
36,48,1,57600
36,24,1,57660
